Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 2000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 1156: loss 0.8284, time 463.80ms, mfu 0.17%
iter 1157: loss 0.8114, time 464.00ms, mfu 0.17%
iter 1158: loss 0.8418, time 478.13ms, mfu 0.17%
iter 1159: loss 0.7424, time 467.63ms, mfu 0.17%
step 1160: train loss 0.7351, val loss 0.8685
iter 1160: loss 0.8010, time 907.61ms, mfu 0.17%
iter 1161: loss 1.1191, time 464.90ms, mfu 0.17%
iter 1162: loss 0.6476, time 467.56ms, mfu 0.17%
iter 1163: loss 1.0655, time 463.73ms, mfu 0.17%
iter 1164: loss 0.6012, time 464.50ms, mfu 0.17%
step 1165: train loss 0.7624, val loss 0.8869
iter 1165: loss 0.7995, time 911.48ms, mfu 0.17%
iter 1166: loss 0.8196, time 466.98ms, mfu 0.17%
iter 1167: loss 0.7873, time 464.38ms, mfu 0.17%
iter 1168: loss 0.4760, time 463.82ms, mfu 0.17%
iter 1169: loss 0.4983, time 468.45ms, mfu 0.17%
step 1170: train loss 0.7253, val loss 0.8276
iter 1170: loss 0.7364, time 934.86ms, mfu 0.17%
iter 1171: loss 0.5462, time 467.44ms, mfu 0.17%
iter 1172: loss 0.6046, time 469.13ms, mfu 0.17%
iter 1173: loss 0.8331, time 464.97ms, mfu 0.17%
iter 1174: loss 0.4543, time 461.71ms, mfu 0.17%
step 1175: train loss 0.7407, val loss 0.8777
iter 1175: loss 0.6204, time 900.51ms, mfu 0.17%
iter 1176: loss 0.6996, time 468.97ms, mfu 0.17%
iter 1177: loss 0.5521, time 466.73ms, mfu 0.17%
iter 1178: loss 1.0377, time 466.96ms, mfu 0.17%
iter 1179: loss 0.6521, time 464.87ms, mfu 0.17%
step 1180: train loss 0.7146, val loss 0.8287
iter 1180: loss 0.8940, time 910.65ms, mfu 0.17%
iter 1181: loss 0.3748, time 472.02ms, mfu 0.17%
iter 1182: loss 0.7036, time 482.74ms, mfu 0.17%
iter 1183: loss 0.7598, time 473.95ms, mfu 0.17%
iter 1184: loss 0.8332, time 522.64ms, mfu 0.17%
step 1185: train loss 0.7084, val loss 0.8245
iter 1185: loss 0.4909, time 1180.94ms, mfu 0.16%
iter 1186: loss 0.7148, time 470.22ms, mfu 0.16%
iter 1187: loss 0.9620, time 472.70ms, mfu 0.17%
iter 1188: loss 0.4883, time 467.88ms, mfu 0.17%
iter 1189: loss 0.7953, time 462.24ms, mfu 0.17%
step 1190: train loss 0.6969, val loss 0.8919
iter 1190: loss 0.8297, time 1116.79ms, mfu 0.16%
iter 1191: loss 0.6778, time 475.63ms, mfu 0.16%
iter 1192: loss 0.7772, time 465.93ms, mfu 0.17%
iter 1193: loss 0.8211, time 467.85ms, mfu 0.17%
iter 1194: loss 0.7249, time 516.80ms, mfu 0.17%
step 1195: train loss 0.7220, val loss 0.9073
iter 1195: loss 0.4846, time 1269.43ms, mfu 0.16%
iter 1196: loss 0.8372, time 475.18ms, mfu 0.16%
iter 1197: loss 0.6709, time 466.20ms, mfu 0.17%
iter 1198: loss 0.5780, time 519.46ms, mfu 0.17%
iter 1199: loss 0.4790, time 490.90ms, mfu 0.17%
step 1200: train loss 0.7109, val loss 0.8601
iter 1200: loss 0.6968, time 1393.36ms, mfu 0.16%
iter 1201: loss 0.6508, time 468.24ms, mfu 0.16%
iter 1202: loss 0.5370, time 492.94ms, mfu 0.16%
iter 1203: loss 0.9533, time 482.63ms, mfu 0.16%
iter 1204: loss 0.7806, time 465.25ms, mfu 0.17%
step 1205: train loss 0.7160, val loss 0.8353
iter 1205: loss 0.7302, time 1311.73ms, mfu 0.16%
iter 1206: loss 0.7328, time 474.32ms, mfu 0.16%
iter 1207: loss 0.6858, time 468.54ms, mfu 0.16%
iter 1208: loss 0.7761, time 482.75ms, mfu 0.16%
iter 1209: loss 0.6018, time 473.56ms, mfu 0.17%
step 1210: train loss 0.6975, val loss 0.8697
iter 1210: loss 0.6882, time 1013.62ms, mfu 0.16%
iter 1211: loss 0.7449, time 470.10ms, mfu 0.16%
iter 1212: loss 0.6906, time 466.95ms, mfu 0.16%
iter 1213: loss 0.7183, time 474.04ms, mfu 0.17%
iter 1214: loss 0.7017, time 473.20ms, mfu 0.17%
step 1215: train loss 0.7062, val loss 0.8951
iter 1215: loss 0.7149, time 1252.39ms, mfu 0.16%
iter 1216: loss 0.4353, time 501.66ms, mfu 0.16%
iter 1217: loss 0.7343, time 527.21ms, mfu 0.16%
iter 1218: loss 0.6156, time 468.38ms, mfu 0.16%
iter 1219: loss 0.6316, time 461.62ms, mfu 0.17%
step 1220: train loss 0.6858, val loss 0.8386
iter 1220: loss 0.6171, time 1047.35ms, mfu 0.16%
iter 1221: loss 0.7930, time 469.57ms, mfu 0.16%
iter 1222: loss 0.7298, time 465.77ms, mfu 0.16%
iter 1223: loss 0.8083, time 465.58ms, mfu 0.17%
iter 1224: loss 0.8831, time 459.58ms, mfu 0.17%
step 1225: train loss 0.7382, val loss 0.8586
iter 1225: loss 0.7806, time 883.12ms, mfu 0.16%
iter 1226: loss 0.7837, time 464.84ms, mfu 0.17%
iter 1227: loss 0.6276, time 461.92ms, mfu 0.17%
iter 1228: loss 0.5441, time 462.71ms, mfu 0.17%
iter 1229: loss 0.9249, time 461.84ms, mfu 0.17%
step 1230: train loss 0.6756, val loss 0.8985
iter 1230: loss 0.6428, time 945.46ms, mfu 0.16%
