Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 3000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1290: loss 0.6532, time 1108.77ms, mfu 0.16%
iter 1291: loss 0.6804, time 464.23ms, mfu 0.17%
iter 1292: loss 0.6291, time 478.26ms, mfu 0.17%
iter 1293: loss 0.7390, time 462.10ms, mfu 0.17%
iter 1294: loss 0.5718, time 464.50ms, mfu 0.17%
step 1295: train loss 0.6514, val loss 0.8918
iter 1295: loss 0.6289, time 946.99ms, mfu 0.16%
iter 1296: loss 0.6443, time 472.02ms, mfu 0.17%
iter 1297: loss 0.6584, time 463.04ms, mfu 0.17%
iter 1298: loss 0.6595, time 462.89ms, mfu 0.17%
iter 1299: loss 0.6536, time 509.35ms, mfu 0.17%
step 1300: train loss 0.6546, val loss 0.9111
iter 1300: loss 0.6169, time 985.27ms, mfu 0.16%
iter 1301: loss 0.4056, time 463.28ms, mfu 0.17%
iter 1302: loss 0.6771, time 474.94ms, mfu 0.17%
iter 1303: loss 0.5845, time 463.93ms, mfu 0.17%
iter 1304: loss 0.6023, time 463.10ms, mfu 0.17%
step 1305: train loss 0.6370, val loss 0.8503
iter 1305: loss 0.5648, time 976.81ms, mfu 0.16%
iter 1306: loss 0.7527, time 477.12ms, mfu 0.17%
iter 1307: loss 0.6434, time 461.22ms, mfu 0.17%
iter 1308: loss 0.7408, time 476.44ms, mfu 0.17%
iter 1309: loss 0.8444, time 484.00ms, mfu 0.17%
step 1310: train loss 0.6865, val loss 0.8713
iter 1310: loss 0.7066, time 903.12ms, mfu 0.16%
iter 1311: loss 0.7867, time 477.99ms, mfu 0.17%
iter 1312: loss 0.5863, time 477.53ms, mfu 0.17%
iter 1313: loss 0.5057, time 470.36ms, mfu 0.17%
iter 1314: loss 0.9097, time 462.44ms, mfu 0.17%
step 1315: train loss 0.6291, val loss 0.9177
iter 1315: loss 0.5978, time 898.69ms, mfu 0.17%
iter 1316: loss 0.5567, time 464.00ms, mfu 0.17%
iter 1317: loss 0.6665, time 466.29ms, mfu 0.17%
iter 1318: loss 0.7497, time 473.40ms, mfu 0.17%
iter 1319: loss 0.6928, time 493.87ms, mfu 0.17%
step 1320: train loss 0.6524, val loss 0.9056
iter 1320: loss 0.5373, time 1033.86ms, mfu 0.16%
iter 1321: loss 0.5887, time 465.16ms, mfu 0.17%
iter 1322: loss 0.7039, time 462.56ms, mfu 0.17%
iter 1323: loss 0.6670, time 481.59ms, mfu 0.17%
iter 1324: loss 0.6018, time 479.82ms, mfu 0.17%
step 1325: train loss 0.6344, val loss 0.8871
iter 1325: loss 0.8225, time 900.50ms, mfu 0.16%
iter 1326: loss 0.6625, time 475.43ms, mfu 0.17%
iter 1327: loss 0.6641, time 461.59ms, mfu 0.17%
iter 1328: loss 0.6129, time 476.11ms, mfu 0.17%
iter 1329: loss 0.4406, time 464.61ms, mfu 0.17%
step 1330: train loss 0.6636, val loss 0.8797
iter 1330: loss 0.6946, time 974.63ms, mfu 0.16%
iter 1331: loss 0.5534, time 478.51ms, mfu 0.17%
iter 1332: loss 0.5739, time 508.33ms, mfu 0.17%
iter 1333: loss 0.7598, time 468.31ms, mfu 0.17%
iter 1334: loss 0.6794, time 468.18ms, mfu 0.17%
step 1335: train loss 0.6554, val loss 0.9094
iter 1335: loss 0.6181, time 946.26ms, mfu 0.16%
iter 1336: loss 0.6258, time 462.33ms, mfu 0.17%
iter 1337: loss 0.5108, time 461.29ms, mfu 0.17%
iter 1338: loss 0.6646, time 510.02ms, mfu 0.17%
iter 1339: loss 0.6348, time 474.93ms, mfu 0.17%
step 1340: train loss 0.6254, val loss 0.9071
iter 1340: loss 0.5703, time 979.45ms, mfu 0.16%
iter 1341: loss 0.5180, time 461.93ms, mfu 0.17%
iter 1342: loss 0.5244, time 472.64ms, mfu 0.17%
iter 1343: loss 0.6889, time 466.68ms, mfu 0.17%
iter 1344: loss 0.5004, time 463.60ms, mfu 0.17%
step 1345: train loss 0.6291, val loss 0.8642
iter 1345: loss 0.6652, time 949.73ms, mfu 0.16%
iter 1346: loss 0.6301, time 483.57ms, mfu 0.17%
iter 1347: loss 0.4233, time 462.70ms, mfu 0.17%
iter 1348: loss 0.5168, time 481.65ms, mfu 0.17%
iter 1349: loss 0.6170, time 497.64ms, mfu 0.17%
step 1350: train loss 0.6252, val loss 0.8556
iter 1350: loss 0.5225, time 1245.46ms, mfu 0.16%
iter 1351: loss 0.5669, time 467.09ms, mfu 0.16%
iter 1352: loss 0.7445, time 466.44ms, mfu 0.17%
iter 1353: loss 0.8925, time 490.56ms, mfu 0.17%
iter 1354: loss 0.7213, time 464.60ms, mfu 0.17%
step 1355: train loss 0.6279, val loss 0.8623
iter 1355: loss 0.5691, time 1023.55ms, mfu 0.16%
iter 1356: loss 0.5490, time 480.29ms, mfu 0.16%
iter 1357: loss 0.5103, time 512.80ms, mfu 0.16%
iter 1358: loss 0.6205, time 543.92ms, mfu 0.16%
iter 1359: loss 0.5650, time 484.17ms, mfu 0.17%
step 1360: train loss 0.6406, val loss 0.8708
iter 1360: loss 0.7359, time 2218.18ms, mfu 0.15%
iter 1361: loss 0.7414, time 705.75ms, mfu 0.15%
iter 1362: loss 0.4030, time 1074.37ms, mfu 0.14%
iter 1363: loss 0.7926, time 496.65ms, mfu 0.15%
iter 1364: loss 0.6281, time 568.62ms, mfu 0.15%
step 1365: train loss 0.6224, val loss 0.9283
iter 1365: loss 0.4604, time 1240.05ms, mfu 0.14%
iter 1366: loss 0.7630, time 473.77ms, mfu 0.15%
iter 1367: loss 0.4885, time 490.61ms, mfu 0.15%
iter 1368: loss 0.2372, time 620.36ms, mfu 0.15%
iter 1369: loss 0.6001, time 574.71ms, mfu 0.15%
step 1370: train loss 0.6246, val loss 0.9128
iter 1370: loss 0.6568, time 1313.30ms, mfu 0.14%
iter 1371: loss 0.5876, time 576.60ms, mfu 0.14%
iter 1372: loss 0.7677, time 506.78ms, mfu 0.15%
iter 1373: loss 0.6802, time 523.52ms, mfu 0.15%
iter 1374: loss 0.5925, time 522.29ms, mfu 0.15%
step 1375: train loss 0.5936, val loss 0.8889
iter 1375: loss 0.5885, time 959.39ms, mfu 0.14%
iter 1376: loss 0.7680, time 493.91ms, mfu 0.15%
iter 1377: loss 0.4444, time 491.16ms, mfu 0.15%
iter 1378: loss 0.7116, time 489.36ms, mfu 0.15%
iter 1379: loss 0.7428, time 508.42ms, mfu 0.16%
step 1380: train loss 0.6154, val loss 0.9294
iter 1380: loss 0.6311, time 1367.45ms, mfu 0.15%
iter 1381: loss 0.5349, time 548.41ms, mfu 0.15%
iter 1382: loss 0.5340, time 493.65ms, mfu 0.15%
iter 1383: loss 0.4637, time 501.04ms, mfu 0.15%
iter 1384: loss 0.6503, time 476.62ms, mfu 0.16%
step 1385: train loss 0.5821, val loss 0.8550
iter 1385: loss 0.7153, time 1501.55ms, mfu 0.15%
iter 1386: loss 0.5797, time 532.86ms, mfu 0.15%
iter 1387: loss 0.5667, time 489.12ms, mfu 0.15%
iter 1388: loss 0.6617, time 510.31ms, mfu 0.15%
iter 1389: loss 0.7598, time 476.92ms, mfu 0.16%
step 1390: train loss 0.5812, val loss 0.8922
iter 1390: loss 0.6861, time 966.12ms, mfu 0.15%
iter 1391: loss 0.6280, time 480.68ms, mfu 0.15%
iter 1392: loss 0.4350, time 472.19ms, mfu 0.16%
iter 1393: loss 0.3726, time 487.16ms, mfu 0.16%
iter 1394: loss 0.8012, time 462.71ms, mfu 0.16%
step 1395: train loss 0.6047, val loss 0.9403
iter 1395: loss 0.7192, time 1136.10ms, mfu 0.15%
iter 1396: loss 0.7106, time 552.13ms, mfu 0.16%
iter 1397: loss 0.7998, time 555.65ms, mfu 0.16%
iter 1398: loss 0.7186, time 521.82ms, mfu 0.16%
iter 1399: loss 0.5431, time 474.74ms, mfu 0.16%
step 1400: train loss 0.6064, val loss 0.9170
iter 1400: loss 0.3874, time 982.22ms, mfu 0.15%
iter 1401: loss 0.4786, time 502.73ms, mfu 0.16%
iter 1402: loss 0.7332, time 487.52ms, mfu 0.16%
iter 1403: loss 0.4923, time 481.19ms, mfu 0.16%
iter 1404: loss 0.5426, time 482.78ms, mfu 0.16%
step 1405: train loss 0.5962, val loss 0.9065
iter 1405: loss 0.5592, time 1445.80ms, mfu 0.15%
iter 1406: loss 0.5149, time 496.24ms, mfu 0.16%
iter 1407: loss 0.5605, time 489.85ms, mfu 0.16%
iter 1408: loss 0.5591, time 499.93ms, mfu 0.16%
iter 1409: loss 0.5506, time 492.73ms, mfu 0.16%
step 1410: train loss 0.6191, val loss 0.8879
iter 1410: loss 0.8063, time 942.71ms, mfu 0.15%
iter 1411: loss 0.7694, time 490.95ms, mfu 0.16%
iter 1412: loss 0.6549, time 489.62ms, mfu 0.16%
iter 1413: loss 0.5752, time 489.17ms, mfu 0.16%
iter 1414: loss 0.8364, time 485.46ms, mfu 0.16%
step 1415: train loss 0.5991, val loss 0.9442
iter 1415: loss 0.5456, time 1023.69ms, mfu 0.16%
iter 1416: loss 0.9223, time 486.09ms, mfu 0.16%
iter 1417: loss 0.7015, time 489.86ms, mfu 0.16%
iter 1418: loss 0.5710, time 603.11ms, mfu 0.16%
iter 1419: loss 0.6161, time 467.16ms, mfu 0.16%
step 1420: train loss 0.5458, val loss 0.9436
iter 1420: loss 0.5977, time 1269.93ms, mfu 0.15%
iter 1421: loss 0.6920, time 478.60ms, mfu 0.16%
iter 1422: loss 0.6490, time 510.00ms, mfu 0.16%
iter 1423: loss 0.4808, time 469.79ms, mfu 0.16%
iter 1424: loss 0.4996, time 472.61ms, mfu 0.16%
step 1425: train loss 0.5669, val loss 0.9919
iter 1425: loss 0.7737, time 1031.77ms, mfu 0.16%
iter 1426: loss 0.3571, time 549.92ms, mfu 0.16%
iter 1427: loss 0.4440, time 560.95ms, mfu 0.16%
